series_code,series_desc,pallet_id,pallet_available_flag,item_id,item_desc,family_code,reporting_group_desc,publisher_desc,imprint_desc,us_price,can_price,pub_date,quantity,Extended Retail,Extended @ 3%
9780316072212,HUK AGED ASSORTED,MO065219,Y,9781444966084,ENCHNTDLIB(SN),23030103,BOOKPOINT,HACHETTE CHILDREN`S,HODDER CHILDREN`S,9.99,12.99,2023-01-03,1,12.99,0.39
9780316072212,HUK AGED ASSORTED,MO065219,Y,9781444966138,STORIES OF DRE,23030103,BOOKPOINT,HACHETTE CHILDREN`S,HODDER CHILDREN`S,9.99,12.99,2022-11-01,1,12.99,0.39
9780316072212,HUK AGED ASSORTED,MO065219,Y,9781444969245,STORIES OF T,23030102,BOOKPOINT,HACHETTE CHILDREN`S,HODDER CHILDREN`S,13.99,15.99,2023-10-31,1,15.99,0.48
9780316072212,HUK AGED ASSORTED,MO065219,Y,9781840320015,WINNIE POOH,23030180,BOOKPOINT,HACHETTE CHILDREN`S,HODDER CHILDREN`S,16.99,17.99,2002-11-14,1,17.99,0.54
9780316072212,HUK AGED ASSORTED,MO065219,Y,9780349001821,ES  FRNDS FSCO,23030502,BOOKPOINT,HACHETTE CHILDREN`S,LITTLE BROWN YOUNG READERS UK,8.99,9.99,2017-10-10,1,9.99,0.3
9780316072212,HUK AGED ASSORTED,MO065219,Y,9781510201774,TRAPDOOR MYSTE,23030502,BOOKPOINT,HACHETTE CHILDREN`S,LITTLE BROWN YOUNG READERS UK,9.99,12.99,2020-12-29,1,12.99,0.39
9780316072212,HUK AGED ASSORTED,MO065219,Y,9781408307359,BQ SPCL 5,23030202,BOOKPOINT,HACHETTE CHILDREN`S,ORCHARD BOOKS,5.99,5.99,2014-08-01,3,17.97,0.54
9780316072212,HUK AGED ASSORTED,MO065219,Y,9781408313220,BQ SPCL 7,23030202,BOOKPOINT,HACHETTE CHILDREN`S,ORCHARD BOOKS,5.99,5.99,2014-10-01,1,5.99,0.18
9780316072212,HUK AGED ASSORTED,MO065219,Y,9781408315231,BQ 60,23030202,BOOKPOINT,HACHETTE CHILDREN`S,ORCHARD BOOKS,5.99,5.99,2014-10-01,2,11.98,0.36
9780316072212,HUK AGED ASSORTED,MO065219,Y,9781408327647,MVS MERMDSISTR,23030202,BOOKPOINT,HACHETTE CHILDREN`S,ORCHARD BOOKS,9.99,10.99,2018-03-06,1,10.99,0.33
